date,archetype
2014-03-05,Devotion to Black decks
2014-03-05,Devotion to Black decks
2014-03-05,Esper Control decks
2014-03-05,Esper Midrange decks
2014-03-05,Jund Aggro decks
2014-03-05,Jund Aggro decks
2014-03-05,Jund Aggro decks
2014-03-05,Mono Blue Aggro decks
2014-03-05,Mono Blue Aggro decks
2014-03-05,Naya Aggro decks
2014-03-05,Orzhov Control decks
2014-03-05,Orzhov Control decks
2014-03-05,UW Control decks
2014-03-06,Boros Aggro decks
2014-03-06,Devotion to Black decks
2014-03-06,Devotion to Black decks
2014-03-06,Devotion to Black decks
2014-03-06,Devotion to Black decks
2014-03-06,Mono Black Aggro decks
2014-03-06,Orzhov Control decks
2014-03-06,Orzhov Control decks
2014-03-07,Devotion to Black decks
2014-03-07,Esper Control decks
2014-03-07,Jund Aggro decks
2014-03-07,Jund Aggro decks
2014-03-07,Mono Blue Aggro decks
2014-03-07,Mono Blue Aggro decks
2014-03-07,UW Control decks
2014-03-07,UW Control decks
2014-03-08,Boros Aggro decks
2014-03-08,Devotion to Black decks
2014-03-08,Devotion to Black decks
2014-03-08,Devotion to Black decks
2014-03-08,Devotion to Black decks
2014-03-08,Devotion to Black decks
2014-03-08,Devotion to Black decks
2014-03-08,Esper Control decks
2014-03-08,Esper Control decks
2014-03-08,Esper Midrange decks
2014-03-08,Golgari Control decks
2014-03-08,Green Ramp decks
2014-03-08,Green Ramp decks
2014-03-08,Gruul Aggro decks
2014-03-08,Gruul Aggro decks
2014-03-08,Gruul Aggro decks
2014-03-08,Jund decks
2014-03-08,Mono Black Aggro decks
2014-03-08,Mono Black Aggro decks
2014-03-08,Mono Blue Aggro decks
2014-03-08,Mono Blue Aggro decks
2014-03-08,Orzhov Control decks
2014-03-08,UW Control decks
2014-03-08,UW Control decks
2014-03-09,Stoneblade decks
2014-03-10,Death & Taxes decks
2014-03-10,Merfolk decks
2014-03-10,Painter decks
2014-03-11,BUG Midrange decks
2014-03-11,UWx Control decks
2014-03-12,Death & Taxes decks
2014-03-12,Dredge decks
2014-03-13,Burn decks
2014-03-13,Death & Taxes decks
2014-03-14,BUG Midrange decks
2014-03-14,Stoneblade decks
2014-03-14,Stoneblade decks
2014-03-15,Affinity decks
